"year","pa_raw","pa_se","pos_raw","pos_se","pos_correct","pos_se_correct","delta_fit","delta_var","delta_se","type"
1995,0.147675692483838,0.00964405880411189,0.491662573879262,0.111951868073588,1.77676096680388,0.172874047423866,0.262384406151016,0.000948139108822824,0.0307918675760796,"delta_WLT"
1996,0.0929984218596751,0.00581701087681694,0.469862469950615,0.110693231800394,1.73844433213755,0.167105017680795,0.161672579379689,0.00034471577499447,0.0185665229645852,"delta_WLT"
1997,0.0745807406053333,0.00488638112865441,0.22902172774291,0.111102480410231,1.36636124249467,0.131863776699802,0.101904233399676,0.000141709000459652,0.0119041589564174,"delta_WLT"
1998,0.112632575411581,0.00627334248491262,0.12849192300986,0.110078496476432,1.23567993623051,0.118021508544617,0.13917781360206,0.000237344869070615,0.0154060010733031,"delta_WLT"
1999,0.103895909773941,0.00569649743906579,0.147462936214958,0.109794260989414,1.25934580964309,0.119943369132951,0.130840878612869,0.000207223219174458,0.0143952498823208,"delta_WLT"
2000,0.0932050052623033,0.00537730687799642,0.117213697000254,0.110084421836668,1.22182040073698,0.116715889797441,0.11387977688028,0.000161902033645926,0.0127240729975086,"delta_WLT"
2001,0.0946356304164547,0.00511725200917378,0.123190161791543,0.109535146660182,1.22914599227671,0.116714859044374,0.116321005852966,0.000161919442769162,0.012724757080949,"delta_WLT"
2002,0.127468824596557,0.00626721611928065,0.0861907524153932,0.109129685917224,1.18449935921037,0.112042592854618,0.150986741053921,0.00025957537243348,0.0161113429742365,"delta_WLT"
2003,0.128606813419562,0.00622942335309152,0.0152091565124754,0.109079420670864,1.1033363200759,0.104321091293875,0.141896568255027,0.000227662368820437,0.0150884846429466,"delta_WLT"
2004,0.154757115639178,0.0072357837116257,0.0477096740736309,0.109014450133919,1.13978295673105,0.107693200193272,0.17638952283839,0.000346389098973545,0.0186115313441303,"delta_WLT"
2005,0.114823512919854,0.00563300226163429,0.0260865460705013,0.108996523349484,1.11540324840573,0.105363906160997,0.128074519304162,0.000186196962506995,0.0136454007822048,"delta_WLT"
2006,0.119948600778085,0.00585498503785642,0.0258875114560572,0.108915849212784,1.11518126664199,0.105259912361706,0.133764432547639,0.000202422788116297,0.0142275362630463,"delta_WLT"
2007,0.118493446879242,0.00573838895089448,-0.0154474411944911,0.108920214592936,1.07002499715461,0.101003738444783,0.1267909501598,0.000181277984559763,0.01346395129818,"delta_WLT"
2008,0.110238295054569,0.0054151389963865,-0.0362342454595659,0.10896129991244,1.04801084687257,0.0989652627487304,0.115530928957928,0.000151517140544406,0.0123092298924184,"delta_WLT"
2009,0.115408774747293,0.00565720036746681,-0.0105772932191856,0.109014071820889,1.07524888746226,0.101590519339583,0.12409315665041,0.000174794385128669,0.0132209827595633,"delta_WLT"
2010,0.109044005177099,0.00539486211399015,-0.0471325534493085,0.109039391371946,1.036652630554,0.0979729838663294,0.113040754812983,0.000145690839348848,0.0120702460351414,"delta_WLT"
2011,0.0977750670557155,0.00491116177719211,-0.111843605659216,0.109060217915527,0.971694179242618,0.0918464047850016,0.0950074635330954,0.000103622435925099,0.0101795105935943,"delta_WLT"
2012,0.108747755605408,0.00535865545274558,-0.100339448381172,0.109001206130303,0.982936000750287,0.0928567971129586,0.10689208398535,0.000129960114410282,0.0114000050179937,"delta_WLT"
2013,0.114870082923212,0.00555258078488633,-0.139213598171081,0.10895610445338,0.945459575004474,0.0892786313303058,0.108605019781308,0.00013297964937584,0.0115316802494624,"delta_WLT"
2014,0.145444253837377,0.00670160931939677,-0.115004906863257,0.108905685212175,0.968627211622262,0.0914165009386595,0.140881262040979,0.000219296837255697,0.0148086743922506,"delta_WLT"
2015,0.155836415149468,0.00703375380461646,-0.11993559040876,0.10885399263868,0.96386297249812,0.0909196236285595,0.150204950329418,0.000247120495337868,0.0157200666454652,"delta_WLT"
2016,0.135736636101571,0.00635819309140979,-0.144368559068191,0.108902347862041,0.940597114033969,0.0887705778360593,0.127673488185817,0.000181273440849568,0.0134637825609881,"delta_WLT"
2017,0.145116296498484,0.00666839985483497,-0.181100556425871,0.108852393482682,0.906675101567787,0.0855225495511585,0.131573332866904,0.000190906091615134,0.013816877057249,"delta_WLT"
2018,0.142802262860691,0.00654804433163591,-0.194317361499179,0.108836113932629,0.894770596540079,0.0843864022624886,0.127775265927134,0.000179849399156288,0.0134107941284731,"delta_WLT"
2019,0.118748819924152,0.00576844687431853,-0.214421656115377,0.109075754619332,0.87696148451135,0.0829102286925593,0.104138141404656,0.000122752948557684,0.0110793929688266,"delta_WLT"
2020,0.0918582791216337,0.00488558871463716,-0.246090567878092,0.109450536543842,0.849623145110365,0.0806386508823288,0.0780449200117482,7.22537614831473e-05,0.00850022126083476,"delta_WLT"
2021,0.104854000991426,0.00567916438940953,-0.274847952210235,0.110135777765282,0.825539224262121,0.0789279523998553,0.0865610906392416,9.06724772673057e-05,0.00952220968406523,"delta_WLT"
